Artist,Listeners,Daily Trend,Peak,PkListeners
Madison Beer,"14,495,280","-20,928",458,"14,828,204"
Purple Disco Machine,"14,464,092","114,154",451,"14,934,992"
Weezer,"14,439,765","-5,803",440,"15,286,346"
Frank Sinatra,"14,391,925","33,674",486,"14,391,925"
Mithoon,"14,380,477","-4,183",469,"14,569,645"
Fred again..,"14,358,951","-149,545",449,"14,508,496"
Armaan Malik,"14,291,502","43,113",381,"16,761,065"
Kacey Musgraves,"14,284,778","506,195",490,"14,284,778"
Benson Boone,"14,274,669","-10,909",488,"14,307,536"
Jorja Smith,"14,242,850","4,091",469,"14,672,140"
Meek Mill,"14,213,200","2,426",393,"15,553,179"
Tony Dize,"14,179,930","4,342",494,"14,187,225"
Destiny's Child,"14,171,491",-640,470,"14,542,444"
DJ Luian,"14,170,471","-12,206",293,"19,413,064"
Milky Chance,"14,151,286","-12,108",417,"15,853,645"
Lukas Graham,"14,137,648","-97,090",467,"14,795,359"
Empire of the Sun,"14,125,570","23,744",477,"14,291,146"
New West,"14,087,997","-46,730",421,"15,372,580"
Van Halen,"14,048,868","-50,639",485,"14,349,969"
Passenger,"14,047,859","-7,560",478,"14,407,135"
Neha Kakkar,"14,034,288","10,412",397,"15,937,303"
Parampara Tandon,"14,023,788","34,343",433,"15,379,200"
D-Block Europe,"14,019,098","458,049",505,"14,019,098"
Jaani,"14,012,948","52,696",506,"14,012,948"
24kGoldn,"14,012,294","-2,301",393,"15,117,675"
Mambo Kingz,"14,009,730","-12,561",298,"19,318,210"
Paulo Londra,"13,918,348","-20,622",401,"15,253,786"
Tones And I,"13,912,509","-44,668",416,"14,965,603"
Himesh Reshammiya,"13,897,260","9,306",457,"14,754,090"
Rita Ora,"13,829,017","13,510",350,"15,748,850"
Kehlani,"13,773,404","24,523",413,"14,545,020"
Zendaya,"13,750,898","-74,981",496,"14,154,770"
Asees Kaur,"13,746,431","21,085",420,"15,041,867"
Limp Bizkit,"13,745,027","17,737",514,"13,745,027"
Gym Class Heroes,"13,737,194","88,753",455,"14,681,834"
Galantis,"13,730,004","41,419",338,"16,168,291"
Maren Morris,"13,716,963","-38,673",432,"14,821,271"
Rae Sremmurd,"13,680,387","-15,879",412,"15,144,345"
Los Tucanes De Tijuana,"13,667,156","114,709",521,"13,667,156"
Arcane,"13,661,956","16,565",347,"16,018,371"
Sam Feldt,"13,606,617","-35,780",435,"15,313,300"
Tems,"13,595,161","-5,647",439,"14,154,825"
The 1975,"13,559,423","-12,208",341,"16,303,938"
Foster The People,"13,556,684","-13,733",505,"13,958,743"
Cage The Elephant,"13,554,549","6,497",504,"13,555,170"
Tulsi Kumar,"13,553,064","6,810",450,"14,928,757"
Grupo Marca Registrada,"13,553,062","113,315",411,"15,390,642"
Jesse & Joy,"13,532,022","-74,820",492,"13,956,774"
Alejandro Sanz,"13,520,993","-3,668",432,"14,395,340"
X Ambassadors,"13,513,613","-10,342",398,"14,934,403"
Sean Kingston,"13,500,823","7,392",527,"13,512,941"
Rochak Kohli,"13,497,098","15,897",470,"14,635,559"
Depeche Mode,"13,481,263","-61,547",418,"14,555,707"
Javed Ali,"13,463,479","32,737",498,"13,996,014"
Dolly Parton,"13,458,703","-28,438",465,"14,361,010"
Dan + Shay,"13,428,922","-8,228",388,"15,689,498"
Coolio,"13,406,704","27,250",469,"13,884,382"
King,"13,383,003","-30,083",392,"16,307,386"
Eyedress,"13,377,144","83,769",541,"13,377,144"
Rex Orange County,"13,355,048","2,612",336,"16,098,724"
Muse,"13,344,215","6,481",480,"13,793,019"
Neeti Mohan,"13,342,643","39,665",471,"14,400,198"
Silk Sonic,"13,330,824","34,781",373,"15,167,191"
sped up nightcore,"13,329,402","-6,971",300,"17,931,530"
Ms. Lauryn Hill,"13,327,564","-26,658",541,"13,354,222"
Fast & Furious: The Fast Saga,"13,285,863","-65,995",280,"20,526,487"
Aitana,"13,274,850","21,758",411,"15,094,220"
Wisin,"13,261,016","28,135",405,"15,614,069"
Machine Gun Kelly,"13,241,212","-11,382",409,"14,429,847"
CÃ©line Dion,"13,224,660","-2,109",467,"13,852,973"
Florida Georgia Line,"13,198,545","-15,679",505,"13,886,025"
Lil Yachty,"13,193,027","-137,105",509,"13,460,078"
Shubh,"13,187,776","20,399",555,"13,187,776"
Scorpions,"13,184,116","6,395",514,"13,334,338"
Kordhell,"13,164,820","-6,662",408,"14,497,317"
Pearl Jam,"13,161,368","-19,878",488,"13,397,739"
KISS,"13,149,841","15,827",475,"13,671,399"
Bazzi,"13,111,121","-4,279",428,"14,609,192"
Bring Me The Horizon,"13,110,469","20,406",475,"14,321,194"
DJ Nelson,"13,041,599","20,755",510,"13,041,599"
Chase Atlantic,"13,003,848","44,143",533,"13,183,688"
Amaal Mallik,"13,000,859","50,758",508,"13,764,448"
WILLOW,"12,961,454","32,611",360,"15,561,760"
Dulquer Salmaan,"12,956,266","350,067",566,"12,956,266"
Tammi Terrell,"12,952,760","105,273",567,"12,952,760"
Blondie,"12,949,446","1,183",552,"13,057,727"
The Smiths,"12,939,257","15,801",569,"12,939,257"
Hariharan,"12,936,969",-978,560,"12,937,947"
Pablo AlborÃ¡n,"12,915,982","5,355",519,"12,924,373"
Jowell & Randy,"12,914,399",-963,516,"12,918,152"
Laufey,"12,906,283","184,252",573,"12,906,283"
The Strokes,"12,906,248","8,470",534,"12,989,467"
Nicky Youre,"12,895,618","-38,063",362,"16,422,807"
Taio Cruz,"12,885,150","24,586",520,"13,246,597"
Boney M.,"12,859,029","-2,000",519,"13,636,105"
girl in red,"12,852,327","27,969",496,"12,881,109"
LuÃ­sa Sonza,"12,779,320","295,469",579,"12,779,320"
Milo j,"12,759,373","-71,972",468,"14,194,175"
Yahritza Y Su Esencia,"12,752,992","-106,618",424,"15,778,618"
Van Morrison,"12,740,150","-36,658",536,"13,440,284"
The Game,"12,704,338","-4,039",508,"12,717,750"
Jack Johnson,"12,696,219","-9,352",538,"12,705,571"
NAV,"12,685,475","-55,817",203,"24,009,796"
Dermot Kennedy,"12,666,199","-20,092",405,"14,690,713"
Nio Garcia,"12,636,759","-3,359",484,"13,791,945"
MGMT,"12,632,508","5,758",538,"12,859,126"
MarÃ­lia MendonÃ§a,"12,621,397","36,152",398,"14,932,890"
Lata Mangeshkar,"12,599,244","6,387",575,"12,686,479"
Gusttavo Lima,"12,574,418","56,792",572,"12,574,418"
MNEK,"12,574,196","-21,366",451,"13,903,326"
Electric Light Orchestra,"12,535,208","-5,849",522,"13,492,386"
Jeremih,"12,527,656","11,115",536,"12,527,656"
S3BZS,"12,517,406","26,250",589,"12,517,406"
Kane Brown,"12,491,654","-25,224",514,"13,741,481"
Mc Don Juan,"12,453,939","11,249",515,"12,740,103"
Evanescence,"12,427,349","9,843",592,"12,427,349"
Benny Dayal,"12,400,284","40,123",599,"12,400,284"
Bradley Cooper,"12,397,414","-12,349",457,"13,661,847"
Sid Sriram,"12,396,163","8,565",596,"12,396,163"
Mau y Ricky,"12,388,586","7,021",489,"12,943,019"
Henrique & Juliano,"12,375,381","45,111",590,"12,589,995"
iann dior,"12,374,919","65,013",438,"14,436,905"
Chino Pacas,"12,362,414","207,980",474,"13,958,546"
Sky Rompiendo,"12,316,903","-32,532",403,"16,344,563"
Rahat Fateh Ali Khan,"12,281,250","-9,645",479,"14,303,179"
Fergie,"12,233,012","13,905",562,"12,233,012"
Rick Ross,"12,232,666","6,275",516,"12,417,329"
Payal Dev,"12,229,639","21,070",607,"12,229,639"
Loreen,"12,194,769","-33,346",329,"18,358,956"
Foreigner,"12,184,975","39,247",506,"13,868,177"
Eurythmics,"12,176,576","18,371",606,"12,176,576"
Tyler Childers,"12,153,177","109,164",614,"12,153,177"
Hailee Steinfeld,"12,150,295","-13,928",440,"14,217,074"
Gustavo Mioto,"12,149,819","17,121",616,"12,149,819"
The Beach Boys,"12,148,056","7,448",554,"13,022,489"
Selena Gomez & The Scene,"12,134,825","86,410",525,"12,240,569"
Christina Perri,"12,120,972","-5,071",506,"13,177,892"
Dalex,"12,120,281","15,014",355,"15,759,825"
Shekhar Ravjiani,"12,105,273","21,305",392,"15,805,465"
Oscar Maydon,"12,096,350","-2,687",523,"12,908,036"
Chayanne,"12,082,584","-1,598",617,"12,084,182"
Matheus & Kauan,"12,069,790","22,466",605,"12,069,790"
Yeat,"12,057,928","-78,240",512,"12,395,785"
Eric Clapton,"12,022,195","-7,914",550,"12,508,878"
Logic,"12,003,658","-7,684",431,"13,970,820"
M83,"11,982,170","-8,194",619,"12,006,228"
Luan Pereira,"11,962,077","63,603",629,"11,962,077"
Michael BublÃ©,"11,953,122","58,394",536,"11,953,122"
Noah Cyrus,"11,929,770","14,980",471,"13,719,050"
Slipknot,"11,905,027","5,819",543,"12,652,937"
S. P. Balasubrahmanyam,"11,899,072","-2,091",630,"11,902,413"
Ashe,"11,866,980","-23,603",623,"11,929,826"
will.i.am,"11,865,210","10,366",566,"12,835,275"
Blur,"11,847,080","-68,004",556,"12,999,306"
Goodboys,"11,828,871","-28,837",508,"12,349,197"
Seeb,"11,828,823","-21,254",603,"12,208,460"
keshi,"11,822,317","-33,672",504,"13,668,403"
Kumaar,"11,797,376","55,927",316,"16,746,132"
Felipe Amorim,"11,785,140","58,741",641,"11,785,140"
Tina Turner,"11,782,461","-25,684",308,"19,164,105"
Calibre 50,"11,776,754","-4,969",488,"12,843,859"
CKay,"11,767,760","-27,024",429,"15,504,745"
Thundercat,"11,752,053","27,697",447,"14,506,297"
Beach House,"11,751,820","11,262",546,"12,185,948"
Normani,"11,751,362","42,517",521,"12,124,105"
Morad,"11,724,819","-40,149",608,"12,132,801"
Luan Santana,"11,716,351","17,311",649,"11,716,351"
James Hype,"11,714,485","-31,342",460,"13,541,656"
Jatin-Lalit,"11,711,637","-1,465",650,"11,713,102"
Busta Rhymes,"11,709,674","104,944",612,"11,856,664"
dazy,"11,698,866","-24,488",426,"14,690,270"
T-Pain,"11,690,949","3,816",568,"11,766,687"
DNCE,"11,686,566","-7,310",591,"11,981,312"
Robbie Williams,"11,681,764","-20,030",607,"11,875,920"
Loud Luxury,"11,678,616","17,857",593,"12,238,932"
SYML,"11,673,747","-6,871",464,"13,654,711"
SalimâSulaiman,"11,668,946","-4,185",613,"12,134,086"
Sigala,"11,667,778","-40,060",384,"15,011,420"
James Blunt,"11,656,003","-34,921",553,"12,564,967"
Ke Personajes,"11,653,793","-14,229",636,"11,789,284"
ZÃ© Neto & Cristiano,"11,653,473","32,024",663,"11,653,473"
Luke Bryan,"11,646,218","-46,866",601,"12,170,317"
The Clash,"11,627,935","-23,901",615,"12,028,653"
Sade,"11,627,309","-11,727",570,"12,799,239"
AURORA,"11,613,956","3,975",473,"13,167,918"
V,"11,606,153","302,681",668,"11,606,153"
Saiko,"11,603,478","210,934",669,"11,603,478"
A$AP Ferg,"11,600,864",-906,585,"12,133,735"
James Bay,"11,592,902","-75,770",571,"11,931,200"
Spice Girls,"11,577,466","-31,224",591,"12,466,014"
Lyanno,"11,574,495","-35,490",416,"14,535,766"
Paul McCartney,"11,573,817","34,147",500,"12,562,122"
Tracy Chapman,"11,560,802","-39,568",632,"11,917,981"
INNA,"11,553,441","-24,594",646,"11,722,076"
Mari Fernandez,"11,536,832","11,548",515,"12,592,523"
Johnny Cash,"11,534,601","-7,545",592,"11,955,065"
Wham!,"11,533,536","7,873",677,"11,533,536"
Papa Roach,"11,525,569","14,786",624,"11,525,569"
Aretha Franklin,"11,524,332","-12,877",546,"13,183,598"
Key Glock,"11,519,380","52,042",642,"11,519,380"
The Pussycat Dolls,"11,516,978","-1,145",619,"11,566,351"
Ciara,"11,498,096","-29,467",639,"11,780,496"
Kate Bush,"11,490,818",-452,424,"14,101,915"
Sukhwinder Singh,"11,489,132","56,895",686,"11,489,132"
FISHER,"11,488,151","-6,427",682,"11,494,578"
Lionel Richie,"11,482,572","-7,760",641,"11,623,824"
Anu Malik,"11,473,160","-3,301",608,"12,058,014"
WALK THE MOON,"11,444,526","-23,965",631,"11,883,990"
Simon & Garfunkel,"11,409,572","1,567",575,"12,013,714"
Marc Anthony,"11,403,042","-9,315",419,"14,118,563"
Yuvan Shankar Raja,"11,396,407","9,709",692,"11,396,407"
Billy Idol,"11,379,187","-1,662",628,"11,900,592"
Altamash Faridi,"11,376,980","-39,361",530,"13,542,217"
John Newman,"11,366,247","-19,411",612,"12,154,111"
3 Doors Down,"11,363,335","-26,212",681,"11,435,840"
Zac Brown Band,"11,359,157","3,249",654,"11,574,609"
John Martin,"11,351,478","-26,272",668,"11,535,835"
K. S. Chithra,"11,339,272","-14,727",692,"11,364,537"
Los Enanitos Verdes,"11,317,703","30,337",653,"11,538,324"
Cults,"11,316,837","11,862",463,"13,266,271"
Lin-Manuel Miranda,"11,315,976",569,532,"12,025,330"
Mitski,"11,310,399","29,225",642,"11,457,947"
Prince,"11,296,425","6,771",630,"11,836,356"
Kadu Martins,"11,268,989","12,573",706,"11,268,989"
Santa Fe Klan,"11,255,812","143,758",677,"11,255,812"
Devi Sri Prasad,"11,241,644","15,515",594,"12,101,218"
Tom Petty,"11,238,824","16,537",698,"11,238,824"
Moneybagg Yo,"11,237,831","-14,579",543,"13,361,761"
The Walters,"11,237,281","2,582",543,"11,865,299"
(G)I-DLE,"11,207,374","-37,538",599,"12,216,685"
Ãejo,"11,203,209","-5,023",653,"11,625,762"
Jorge & Mateus,"11,197,401","20,435",539,"11,885,902"
Brytiago,"11,182,139","57,329",615,"11,182,139"
YG,"11,179,867","-14,265",530,"12,471,725"
Dove Cameron,"11,178,406","504,512",367,"15,363,797"
Jaymes Young,"11,176,774","-37,989",530,"13,123,344"
The Doors,"11,176,130","10,514",633,"11,823,570"
Soulja Boy,"11,166,216","6,596",669,"11,166,216"
James Blake,"11,165,921","42,820",582,"12,512,105"
$uicideboy$,"11,158,631","-24,198",603,"11,182,829"
Leon Bridges,"11,155,370","1,794",674,"11,503,891"
Stromae,"11,146,761","-14,365",617,"11,758,771"
Joan Sebastian,"11,144,520","2,832",657,"11,169,107"
Diljit Dosanjh,"11,136,581","32,217",655,"11,708,690"
Amit Trivedi,"11,134,514","7,880",384,"14,989,573"
Manu Chao,"11,122,415","-37,867",650,"11,659,241"
LISA,"11,105,985","-34,180",534,"13,364,607"
Seafret,"11,059,486","-19,834",480,"12,965,413"
JhenÃ© Aiko,"11,026,717","9,468",593,"11,509,802"
Israel & Rodolffo,"10,999,760","17,351",656,"11,483,711"
H.E.R.,"10,995,651","12,114",503,"12,500,641"
SOG,"10,993,866","97,184",734,"10,993,866"
Wesley SafadÃ£o,"10,977,362","43,324",630,"10,997,207"
YNW Melly,"10,970,283",278,619,"12,098,740"
Gurinder Gill,"10,967,648","3,004",692,"11,301,680"
Diddy,"10,949,396","-46,488",508,"12,776,020"
Maiara & Maraisa,"10,933,833","50,480",622,"10,933,833"
Carrie Underwood,"10,920,421","-64,633",663,"11,522,881"
Timmy Trumpet,"10,917,802","-24,114",648,"10,941,916"
Rod Stewart,"10,902,571",686,631,"11,575,035"
The Smashing Pumpkins,"10,902,411","-13,017",659,"11,044,641"
Bailey Zimmerman,"10,899,853","1,914",739,"10,899,853"
Bob Sinclar,"10,876,773","-10,800",725,"10,955,141"
La Oreja de Van Gogh,"10,876,307","14,827",713,"10,876,307"
Gotye,"10,840,730","29,316",661,"10,840,730"
Nas,"10,831,547","-50,880",547,"13,392,042"
Dimitri Vegas & Like Mike,"10,829,912","-4,864",652,"11,669,908"
Yo Yo Honey Singh,"10,815,334","30,103",686,"11,186,775"
SofÃ­a Reyes,"10,804,609","-6,177",607,"12,276,010"
Counting Crows,"10,803,347","-7,562",734,"10,864,205"
Thaman S,"10,780,487","4,563",663,"10,780,487"
Cosculluela,"10,767,894","90,122",678,"11,011,074"
Hombres G,"10,757,760",790,744,"10,758,994"
T.I.,"10,744,267","64,661",587,"11,230,035"
La Adictiva,"10,724,164","-14,577",647,"11,239,076"
Juan Luis Guerra 4.40,"10,718,577",-128,700,"10,964,025"
TLC,"10,668,115","23,708",700,"11,111,317"
Lenny Kravitz,"10,665,928","-3,762",697,"10,957,172"
Roxette,"10,649,681","-6,432",700,"11,155,709"
Justine Skye,"10,635,767","-45,301",539,"11,860,302"
Rammstein,"10,629,300","-7,080",636,"11,805,127"
INTERWORLD,"10,600,701","4,700",711,"10,809,092"
Disturbed,"10,586,327","10,856",680,"10,678,951"
Ben E. King,"10,584,109","-51,197",754,"10,701,873"
Ayra Starr,"10,558,716","101,958",541,"12,798,195"
Rudimental,"10,546,446","-3,350",704,"11,195,138"
Chance the Rapper,"10,543,446","-1,952",623,"10,952,938"
6ix9ine,"10,526,119","-26,141",584,"12,167,814"
Darell,"10,508,541","-11,758",683,"10,922,504"
Sasha Alex Sloan,"10,504,600","-2,335",463,"14,497,829"
Jeremy Zucker,"10,500,742","-10,697",513,"12,231,275"
Beach Weather,"10,491,090","5,898",597,"11,162,772"
Camila,"10,489,182","14,104",775,"10,489,182"
KHEA,"10,483,684","9,567",595,"12,238,856"
Soda Stereo,"10,471,468","17,151",777,"10,471,468"
Shouse,"10,465,461","-27,428",530,"13,218,201"
Mumford & Sons,"10,459,358","4,588",715,"10,459,358"
Korn,"10,456,482","6,119",733,"10,504,909"
Mary J. Blige,"10,456,126","10,476",696,"10,456,126"
Olivia Newton-John,"10,431,333","26,971",708,"11,031,469"
KALEO,"10,426,944","83,645",783,"10,426,944"
Survivor,"10,411,352","-5,284",723,"10,572,103"
John Lennon,"10,405,541","37,453",628,"11,118,291"
Guilherme & Benuto,"10,400,018","37,079",699,"10,856,086"
Cartel De Santa,"10,378,022","-8,757",376,"15,547,760"
2 Chainz,"10,353,764","-15,823",518,"13,821,264"
Kumar Sanu,"10,349,727","3,210",789,"10,352,600"
Danna Paola,"10,342,684","-27,840",531,"12,298,665"
Cazzu,"10,342,214","50,694",679,"10,701,834"
Shinda Kahlon,"10,329,353","60,849",792,"10,329,353"
bbno$,"10,325,079","-4,141",721,"10,348,710"
Gigi D'Agostino,"10,322,082","-15,920",773,"10,406,240"
Jordan Davis,"10,318,612","-24,049",689,"11,241,855"
A7S,"10,311,540",-44,578,"11,363,223"
Fifth Harmony,"10,304,947","3,174",675,"10,680,046"
fun.,"10,301,628","45,551",594,"12,280,955"
Belanova,"10,284,935","35,238",799,"10,284,935"
FAST BOY,"10,276,283","-17,078",541,"11,900,190"
Flume,"10,274,981",-687,640,"10,814,253"
Veigh,"10,271,396","13,980",802,"10,271,396"
Mc Livinho,"10,269,046","2,208",762,"10,591,190"
Regard,"10,268,704",-175,594,"11,405,051"
TOMORROW X TOGETHER,"10,262,457","-55,041",660,"11,544,021"
Thomas Rhett,"10,242,227","-20,452",666,"11,239,778"
SAINt JHN,"10,240,598","16,196",614,"10,812,618"
Jess Glynne,"10,229,614","-13,781",707,"10,766,008"
Matheus Fernandes,"10,225,156","58,225",809,"10,225,156"
Zion,"10,224,872","-15,743",660,"11,549,405"
AJR,"10,205,951","-25,210",576,"11,478,322"
Kenny Loggins,"10,200,387","-10,615",718,"10,573,523"
Wizkid,"10,193,951","-18,717",523,"13,758,308"
Marco Antonio SolÃ­s,"10,190,863","-1,362",688,"10,296,202"
Shadab Faridi,"10,177,076","-48,062",584,"12,567,527"
Three Days Grace,"10,168,254","41,295",716,"10,307,314"
GAYLE,"10,166,833","-36,078",545,"12,635,740"
Kimbra,"10,161,294","25,682",724,"10,161,294"
Yusuf / Cat Stevens,"10,141,636","-13,376",722,"10,681,674"
Hans Zimmer,"10,132,691","21,153",725,"10,132,691"
Jessie Reyez,"10,131,037","11,813",241,"21,763,207"
Lizzy McAlpine,"10,123,490","-37,722",293,"18,459,665"
Sadhana Sargam,"10,114,594","-2,607",790,"10,217,430"
Taiu,"10,111,704","-35,270",494,"13,373,236"
Owl City,"10,095,113","-12,705",753,"10,331,661"
Supertramp,"10,076,850","45,542",826,"10,076,850"
NIKI,"10,066,210","-33,574",727,"10,179,388"
Simone Mendes,"10,064,336","17,330",828,"10,064,336"
Chief Keef,"10,046,109","6,124",701,"10,200,557"
Sting,"10,042,495","-4,389",698,"10,379,484"
MAGIC!,"10,042,303","-25,074",793,"10,339,521"
Natalia Lafourcade,"10,031,467","-23,810",705,"10,634,148"
Gera MX,"10,031,334","-12,460",725,"10,245,917"
Riton,"10,025,454","-4,445",685,"11,432,336"
TWICE,"10,023,650","-19,789",499,"12,855,155"
Sidhu Moose Wala,"10,022,146","-20,495",637,"11,847,588"
The Fray,"10,004,725","-1,473",820,"10,006,198"
Kelsea Ballerini,"10,001,707","-104,735",649,"10,570,841"
KayBlack,"9,993,884","-16,606",769,"10,492,966"
L7NNON,"9,985,168","9,275",583,"11,295,456"
Grupo Menos Ã Mais,"9,982,472","57,952",841,"9,982,472"
Trueno,"9,974,071","7,564",842,"9,974,071"
INXS,"9,960,038","1,697",809,"10,113,379"
Sleepy Hallow,"9,942,289","-75,172",838,"10,017,461"
Kany GarcÃ­a,"9,940,323","-12,558",843,"9,952,938"
Birdy,"9,918,832","7,668",662,"10,791,626"
Mae Stephens,"9,915,545","-75,301",611,"11,344,894"
Alfredo Olivas,"9,905,823","-6,034",770,"10,127,826"
Bacilos,"9,898,399","-82,319",780,"10,433,365"
MC Cabelinho,"9,894,565","1,482",818,"10,019,022"
Sum 41,"9,888,073","-15,145",816,"10,096,879"
Colbie Caillat,"9,887,684","15,909",834,"9,998,534"
Los Tigres Del Norte,"9,881,792","-1,443",781,"10,109,410"
Juan Gabriel,"9,873,768","36,924",777,"9,873,768"
Zac Efron,"9,872,942","-74,198",810,"10,200,779"
The Mamas & The Papas,"9,870,923","8,726",799,"10,043,060"
sped up + slowed,"9,853,625","-21,501",640,"11,797,289"
Otis Redding,"9,852,094","-17,055",812,"10,156,799"
BÃRNS,"9,846,185","7,182",820,"10,042,261"
Mc Pedrinho,"9,822,284","-21,856",766,"10,575,967"
Stormzy,"9,813,546","-19,322",690,"10,986,282"
Karthik,"9,812,589","-4,970",861,"9,817,559"
Dhvani Bhanushali,"9,808,363","5,998",643,"11,726,344"
Jimmy Eat World,"9,804,332","-11,485",831,"9,955,254"
Tim McGraw,"9,799,293","-20,592",790,"10,323,631"
Rage Against The Machine,"9,799,094","-18,234",737,"10,069,643"
Jason Aldean,"9,784,148","-30,590",698,"11,170,383"
Icona Pop,"9,756,151","37,243",805,"9,756,151"
Phoebe Bridgers,"9,745,428","10,185",817,"9,745,428"
Tego CalderÃ³n,"9,741,345","-1,030",746,"10,383,550"
MK,"9,741,098","76,186",871,"9,741,098"
Lunay,"9,722,175","1,683",651,"10,669,807"
The Black Keys,"9,720,099","-40,182",843,"9,922,179"
C. Tangana,"9,717,884","25,823",700,"10,662,242"
Ryan Gosling,"9,714,871","-284,389",537,"13,365,753"
Migrantes,"9,711,549","-81,840",428,"14,283,705"
Harris Jayaraj,"9,711,316",359,877,"9,712,164"
BIA,"9,706,788","96,142",833,"9,706,788"
Nadin Amizah,"9,703,327","16,160",879,"9,703,327"
Fireboy DML,"9,700,123","-12,093",778,"10,491,359"
Isabel LaRosa,"9,700,084","-11,201",708,"9,880,750"
YOASOBI,"9,695,052","-28,210",760,"10,365,956"
Pedro CapÃ³,"9,673,452","-2,077",634,"11,680,899"
AgroPlay,"9,670,733","10,433",736,"10,800,061"
Rascal Flatts,"9,664,065","-20,964",822,"10,060,800"
James Carter,"9,656,139","-7,435",582,"11,924,918"
Kailash Kher,"9,653,755","-48,225",874,"9,748,809"
JuliÃ³n Ãlvarez y su NorteÃ±o Banda,"9,650,635","12,012",638,"10,658,698"
Mustard,"9,644,589","-5,086",648,"10,797,192"
Yuridia,"9,643,462","-23,707",569,"11,583,989"
Ofenbach,"9,635,613","-42,746",605,"12,268,743"
Cher,"9,635,302","-18,847",817,"10,072,106"
MARINA,"9,630,446","24,292",694,"9,930,863"
ILLENIUM,"9,625,234","-16,780",570,"12,528,350"
Ozzy Osbourne,"9,607,590","33,372",805,"9,607,590"
Bob Dylan,"9,595,254",-144,718,"10,391,094"
Young Nudy,"9,589,594","60,036",819,"10,106,926"
AminÃ©,"9,576,485","2,918",632,"11,894,189"
LE SSERAFIM,"9,564,802","-66,218",641,"11,538,091"
Heart,"9,550,535","12,155",717,"10,760,608"
Pixies,"9,546,160","12,777",778,"9,688,191"
Cordae,"9,545,919","-2,495",689,"11,325,024"
R. D. Burman,"9,536,148","12,924",863,"9,770,123"
Jeet Gannguli,"9,529,092","7,109",752,"10,569,963"
Takeoff,"9,526,541","31,811",635,"10,587,587"
Fujii Kaze,"9,505,719","-24,256",584,"11,578,504"
Smash Mouth,"9,494,485","44,985",907,"9,494,485"
Vicente FernÃ¡ndez,"9,494,414","-32,664",802,"10,192,747"
Kansas,"9,491,265","-6,109",863,"9,780,801"
Matt Sassari,"9,482,324","1,378",809,"10,151,818"
Rag'n'Bone Man,"9,480,937","54,218",782,"9,480,937"
Ghea Indrawari,"9,471,480","33,821",912,"9,471,480"
Pink Sweat$,"9,468,284","-38,039",696,"10,134,814"
Shaan,"9,464,733","10,871",841,"9,767,423"
GIMS,"9,460,495","-50,638",746,"10,331,035"
Hoobastank,"9,455,035",882,821,"9,661,245"
Kaliii,"9,446,479","-13,883",444,"15,169,221"
Bonnie Tyler,"9,446,349","-6,847",822,"9,640,695"
Mon Laferte,"9,437,178","-7,369",790,"9,444,547"
Gnarls Barkley,"9,429,897","70,983",920,"9,429,897"
Thalia,"9,419,663","2,021",699,"9,975,578"
No Doubt,"9,417,196",-985,892,"9,483,743"
M.I.A.,"9,394,684","36,984",869,"9,763,476"
Sfera Ebbasta,"9,379,484","-30,490",703,"11,111,971"
Snow Patrol,"9,378,617","-7,354",853,"9,458,459"
Eric Church,"9,368,340","10,769",734,"9,854,923"
Ghost,"9,367,569","25,409",778,"9,577,779"
DMX,"9,361,469","-12,952",615,"10,919,370"
Louis Armstrong,"9,343,207","-27,053",870,"9,381,586"
Carla Morrison,"9,341,520","-23,048",565,"11,635,580"
ZZ Top,"9,327,449","12,092",644,"11,719,790"
El Fantasma,"9,318,583","79,517",813,"9,409,267"
Wolfine,"9,306,575",779,933,"9,306,575"
Lola Indigo,"9,304,364","-32,406",555,"12,485,738"
Dilsinho,"9,304,049","36,902",906,"9,304,049"
ENHYPEN,"9,300,952","8,367",861,"9,694,348"
Ski Mask The Slump God,"9,300,723","16,632",738,"10,318,769"
Mahalini,"9,284,052",885,772,"10,318,564"
Tulus,"9,281,231","12,906",895,"9,404,134"
Sam Hunt,"9,279,020","-66,340",770,"10,404,841"
Bakar,"9,258,923","42,460",817,"10,118,759"
MC PH,"9,252,105","30,573",942,"9,252,105"
XamÃ£,"9,250,304","11,266",604,"10,846,179"
Oliver Heldens,"9,245,688","-66,976",710,"10,165,996"
Dj Nk Da Serra,"9,242,132","25,336",945,"9,242,132"
Will Smith,"9,233,761","-9,027",850,"9,799,337"
Ajay-Atul,"9,225,258","-8,171",597,"12,421,148"
Kool & The Gang,"9,222,624","-13,297",875,"9,438,307"
DJ Matt D,"9,219,446","5,551",894,"9,504,681"
The Temptations,"9,207,779","22,845",935,"9,218,250"
Bryant Myers,"9,188,847","12,211",812,"9,278,299"
Portugal. The Man,"9,181,962","46,180",835,"9,664,996"
G. V. Prakash,"9,180,441","21,419",818,"9,270,192"
Noriel,"9,176,518","7,294",873,"9,179,163"
Jasiel NuÃ±ez,"9,176,316","221,020",955,"9,176,316"
Avenged Sevenfold,"9,167,765","4,200",833,"9,877,855"
Jimi Hendrix,"9,153,763","-4,524",791,"9,582,538"
Miranda!,"9,137,951","-49,774",708,"10,227,443"
Rvssian,"9,136,365","-27,492",600,"11,322,904"
Shiloh Dynasty,"9,129,528","-15,480",724,"10,081,564"
Edgardo NuÃ±ez,"9,125,900","-20,698",788,"10,379,736"
